503 -1294
26584039499592075048565518490999349635325873094706045391690257305355051279403975770605029617331661666736932504265967414765734444576170417136771656029793217726766937033570805769 -54557584978912566426382953440910079017171512553067522437963066965398415882741142751688973030928952586852768019269673389741679347458087901593275790434780488872755200000000000000
-13371771868294813749428455800972672866568914166637140832020199424593590793540199812614329897517825818368677049645781609627164425621813719819796142982985988516563769327886115301807 -14457760019411830102991482661841170939550450826562893446060212745830580208926402829197577853196172435515983525106463448281545027076393293922218084465216829551280128000000000000000
4105133963566507821074535930898610570036656649157602235430201223350232373616841342472599278537972526239183854241254954155539478665896811984677415895776698474585077183661037397654749 -1619269122174124971535046058126211145229650492575044065958743827533024983399757116870128719557971312777790154811923906207533043032556048919288425460104284909743374336000000000000000
414618530320217289928528129020759667573702321564917825778450323558373469735300975589732527132335225150157569278366750369709487345255578010452419005473446545933092795549764777163129649 84992197684675471505931497498928570590813895054278912934042546019553415328686451550279316232158798265080649645768261989020994362692801895675610875549953706342610232147968000000000000000
418350097093099245537884882181946504581865642459002086210456376470398830962918684370040119876526242176508987401872051123036872731362878212546490776522707564846490630709712660157597815841 169984395369350943011862994997857141181627790108557825868085092039106830657372903100558632464317596530161299291536523978041988725385603791351221751099907412685220464295936000000000000000
42253359806403023799326373100376596962768429888359210707256094023510281927254787121374052107529150459827407727589077163426724145867650699467195568428793464049495553701680978675917379399941 -46575724331202158385250460629412856683766014489744844287855315218715271600120175449553065295223021449264196005881007569983504910755655438830234759801374631075750407217086464000000000000000
29619605224288519683327787543363994470900669351739806705786521910480707631005605772083210527377934472339012817039943091562133626253223140326504093468584218298696383144878366051818082959358641 59290897073620347624423836381242566558434136445445186778439816273424540746952983347281052120818906304913321515486522636589001751391949373630888849227149905359430268387351068672000000000000000
26864981938429687352778303301831142985106907102028004682148375372806001821322084435279471948331786566411484625055228384046855199011673388276139212776005885996917619512404678008999001244138287387 -2490217677092054600225801128012187795454233730708697844694472283483830711372025300585804189074394064806359503650433950736738073558461873692497331667540296025096071272268744884224000000000000000
2713363175781398422630608633484945441495797617304828472896985912653406183953530527963226666781510443207559947130578066788732375100179012215890060490376594485688679570752872478908899125657967026087 -9492709785074912136060753899982459876271538981461556183975328344640362671750160445833085568751590175041842427915454220208445536404856662515799828316663608447666223689888455498661888000000000000000
1088058633488340767474874062027463122039814844539236217631691350974015879765365741713253893379385687726231538799361804782281682415171783898571914256641014388761160507871901864042468549388844777460887 825865751301517355837285589298474009235623891387155388005853565983711552442263958787478444481388345228640291228644517158134761667222529638874585063549733934946961461020295628383584256000000000000000
547293492644635406039861653199813950386026866803235817468740749539929987521978968081766708369831000926294464016078987805487686254831407300981672871090430237546863735459566637613361680342588923062826161 -336127360779717563825775234844478921758898923794572242918382401355370601844001431226503726903925056508056598530058318483360847998559569563021956120864741711523413314635260320752118792192000000000000000
55276642757108176010026026973181208988988713547126817564342815703532928739719875776258437545352931093555740865623977768354256311737972137399148959980133453992233237281416230398949529714601481229345442261 303859134144864677698500812299408945270044627110293307598217690825255024066977293828759369121148251083283165071172719908958206590697850884971848333261726507217165636430275329959915388141568000000000000000
50135914980697115641093606464675356553012763187244023530858933843104366366925927329066402853635108501855056965120947835897310474746340728621028106701981042770955546214244520971847223451143543475016316130727 9723492292635669686352025993581086248641428067529385843142966106408160770143273402520299811876744034665061282277527037086662610902331228319099146664375248230949300365768810558717292420530176000000000000000
10578678060927091400270750964046500232685693032508488965011235040895021303421370666433011002117007893891417019640519993374332510171477893739036930514118000024671620251205593925059764148191287673228442703583397 -16811918173967072887702652942901698123901029128758308122794188397979709971577719712957598374734890435935890957057844247122839654250130693763722424582704804191311340332414273456022198595096674304000000000000000
8558150551290016942819037529913618688242725663299367572694089148084072234467888869144305900712659386158156368889180674639835000728725616034880876785921462019959340783225325485373349195886751727641810147198968173 11532975867341412000964019918830564912996105982328199372236813241014081040502315723088912485068134839052021196541681153526268002815589655921913583263735495675239579468036191590831228236236318572544000000000000000
8635173906251627095304408867682841256436910194269061880848335950416828884578099868966604653819073320633579776209183300711593515735284146579194804676994755178138974850274353414741709338649732493190586438523758886557 -2364260052804989460197624083360265807164201726377280871308546714407886613302974723233227059438967642005664345291044636472884940577195879463992284569065776613424113790947419276120401788428445307371520000000000000000
872152564531414336625745295635966966900127929621175249965681930992099717342388086765627070035726405383991557397127513371870945089263698804498675272376470272992036459877709694888912643203622981812249230290899647542257 -8412037267880152499383146488595825741890229742450365340115809209863260570131984065263821877483846870256153740545536816570524618573662939132884548496736033190562996868190917784436389563228408403627868160000000000000000
524163691283380016312072922677216147106976885702326325229374840526251930122775240146141869091471569635778925995673635536494437998647482981503703838698258634068213912386503526628236498565377412069161787404830688172896457 269185192572164879980260687635066423740487351758411690883705894715624338244223490088442300079483099848196919697457178130256787794357214052252305551895553062098015899782109369101964466023309068916091781120000000000000000
210189640204635386541141241993563674989897731166632856416979311051027023979232871298602889505680099423947349324265127850134269637457640675582985239318001712261353778866987914177922835924716342239733876749337105957331479257 -186545338452510261826320656531101031652157734768579301782408185037927666403246878631290513955081788194800465350337824444267953941489549338210847747463618272033925018549001792787661374954153184758851604316160000000000000000
64528219542823063668130361292024048221898603468156286920012648492665296361624491488671087078243790523151836242549394249991220778699495687403976468470626525664235610112165289652622310628887917067598300162046491528900764131899 174046800776192074283957172543517262531463166539084488562986836640386512754229337762994049520091308385748834171865190206502001027409749532550720948383555847807652042306218672670888062832224921380008546826977280000000000000000
-65108973518708471241143534543652264655895690899369693502292762329099284028879111912069126861947984637860202768732338798241141765707791148590612256686862164395213730603174777259495911424547908321206684863504909952660871009086091 -1044280804657152445703743035261103575188778999234506931377921019842319076525376026577964297120547850314493005031191141239012006164458497195304325690301335086845912253837312036025328376993349528280051280961863680000000000000000
6576006325389555595355496988908878730245464780836339043731568995239027686916790303118981813056746448423880479641966218622355318336486906007651837925373078603916586790920652503209087053879338740441875171213995905218747971917695191 -16153979767241491182591201012454011204595222339158587721485060255940833794771041755134529712157754696514892294827495763826276723358008493114162614103271352458419416654609379885275804663710123852964113265199069265920000000000000000
5964437737128326924987435768940353008332636556218559512664533078681798112033528804928916504442469028720459595035263360290476273731193623748940216998313382293752344219365031820410641957868560237580780780291094286033404410529349538237 5637738938767280422724329153346449910403732596366347114798286029323350994375093572541950869543056389083697410894796021575370576451944964096842752322041702007988376412458673579961255827634833224684475529554475173806080000000000000000
6018117676762481867312322690860816185407630285224526548278513876389934295041830564173276752982451249978943731390580730533090560194774366362680678951298202734396115317339317106794337735489377279719007807313714134607705050224113684081133 -2852695903016243893898510551593303654664288693761371640087932730837615603153797347706227139988786532876350889912766786917137511684684151833002432674953101216042118464704088831460395448783225611690344617954564437945876480000000000000000
607829885353010668598544591776942434726170658807677181376129901515383363799224886981500952051227576247873316870448653783842146579672211002630748574081118476174007647051271027786228111284427105251619788538685127595378210072635482092194433 8458243352443163145409083785474145336079615977002466912860720546933530263351009135948963470066752069978380388591353523209312722145088510184852212881235945105564881247847623385280072505642263938661871792235283558509523763200000000000000000
491734377250585630896222574747546429693472062975410839733289090325945141313572933568034270209443109184529513348192960911128296582954818701128275596431624847224772186464478261479058542029101528148560408927796268224660971948762105012585296297 152248380343976936617363508138534616049433087586044404431492969844803544740318164447081342461201537259610846994644363417767628998611593183327339831862247011900167862461257220935041305101560750895913692260235104053171427737600000000000000000
150962453815929788685140330447496753915895923333451127798119750730065158383266890605386520954299034519650560597895238999716387050967129341246380608104508828098005061244594826274070972402934169141608045540833454344970918388269966238863685963179 -190614972190659124644939112189445339293890225657727594348229198245694038014878341887745840761424324649032780437294742999045071506261714665525829469491533258899010163801494040610671713987154060121683942709814350274570627527475200000000000000000
60535943980187845262741272509446198320274265256713902247046020042756128511690023132759994902673912842379874799755990838886271207437818865839798623849908040067300029559082525335902459933576601825784826261874215192333338273696256461784338071234779 103313314927337245557556998806679373897288502306488356136740225449166168604064061303158245692691983959775766997013750705482428756393849348714999572464411026323263508780409770010984068981037500585952696948719377848817280119891558400000000000000000
42435696730111679529181632029121785022512259944956445475179260049972046086694706216064756426774412902508292234628949578059276116413911024953698835318785536087177320720916850260467624413437197879875163209573824849825670129861075779710820987935580079 -6818678785204258206798761921240838677221041152228231505024854879644967127868228046008444215717670941345200621802907546561840297921994057015189971782651127737335391579507044820724948552748475038672877998615478938021940487912842854400000000000000000
4286005369741279632447344834941300287273738254440600992993105265047176654756165327822540399104215703153337515697523907383986887757805013520323582367197339144804909392812601876307230065757156985867391484166956309832392683115968653750792919781493587979 -19958272804292863771299976143471934808225987452572033615207750232720818783270303490666716219405622845317402220017110388786506552017676604883461047407819850887180691153217120190261924413894786438195513901947506851590219808120891034828800000000000000000
2575889227214509059100854245799721472651516690918801196788856264293353169508455362021346779861633637595155846934211868337776119542440813125714473002685600826027750545080373727660645269520051348506302281984340742209268002552697160904226544788677646375379 1696453188364893420560497972195114458699208933468622857292658769781269596577975796706670878649477941851979188701454383046853056921502511415094189029664687325410358748023455216172263575181056847246618681665538082385168683690275737960448000000000000000000
1805698348277370850429698826305604752328713200334079638948988241269640571825427208776964092683005179954204248700882519704781059799251010001125845574882606179045453132101341983090112333933555995302917899671022860288696869789440709793862807896863030109140679 -1282518610403859425943736466979506530776601953702278880113250029954639815012949702310243184259005324040096266658299513583420911032655898629811206906426503618010231213505732143426231262836878976518443723339146790283187524869848457898098688000000000000000000
